국가명,기준연월,소비건수
중국,2018,166925.0
중국,2019,224821.0
중국,2020,102658.0
중국,2021,41124.0
중국,2022,68215.0
중국,2023,134281.0
중국,2024,199804.0
중국,2025,289408.0
중국,2026,329302.0
