국가명,KTO카테고리소분류,소비금액비율(카테고리별)
중국,대학/종합병원,7.48
중국,성형외과,25.65
중국,안과,0.94
중국,약국,6.85
중국,치과,4.05
중국,피부과,53.76
중국,한약방,0.02
중국,한의학과,1.25
