국가명,KTO카테고리소분류,소비건수비율(카테고리별)
중국,대학/종합병원,8.11
중국,성형외과,6.19
중국,안과,0.83
중국,약국,61.44
중국,치과,3.61
중국,피부과,17.79
중국,한약방,0.24
중국,한의학과,1.79
