대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,46.7,34.7
쇼핑업,대형쇼핑몰,46.7,47.4
쇼핑업,레저용품쇼핑,46.7,3.6
쇼핑업,면세점,46.7,14.3
숙박업,기타숙박,20.6,19.4
숙박업,캠핑장/펜션,20.6,0.4
숙박업,콘도,20.6,2.5
숙박업,호텔,20.6,77.7
식음료업,일반외식업,14.1,83.1
식음료업,제과음료업,14.1,16.9
여가서비스업,골프장,1.2,24.0
여가서비스업,관광유원시설,1.2,9.9
여가서비스업,기타레저,1.2,37.0
여가서비스업,문화서비스,1.2,28.9
여가서비스업,스키장,1.2,0.2
여행업,여행업,0.1,100.0
운송업,렌터카,3.0,9.8
운송업,수상운송,3.0,0.4
운송업,육상운송,3.0,81.0
운송업,항공운송,3.0,8.7
의료웰니스업,뷰티,14.2,38.4
의료웰니스업,의료관광,14.2,61.6
