국가명,KTO카테고리소분류,소비건수비율(카테고리별)
글로벌,대학/종합병원,33.57
글로벌,성형외과,2.68
글로벌,안과,1.92
글로벌,약국,39.43
글로벌,치과,9.06
글로벌,피부과,8.21
글로벌,한약방,0.05
글로벌,한의학과,5.08
