국가명,KTO카테고리소분류,소비금액비율(카테고리별)
글로벌,대학/종합병원,39.46
글로벌,성형외과,14.61
글로벌,안과,2.63
글로벌,약국,6.69
글로벌,치과,15.58
글로벌,피부과,15.97
글로벌,한약방,0.04
글로벌,한의학과,5.02
