기준연월,시도명,소비건수_(전체)
2018,경기도,81812.0
2019,경기도,96004.0
2020,경기도,82789.0
2021,경기도,111385.0
2022,경기도,162615.0
2023,경기도,194149.0
2024,경기도,255203.0
2025,경기도,302434.0
2026,경기도,181975.0
