기준연월,KTO카테고리소분류,소비건수
202501,의료 소비건수 합계,192313.0
202502,의료 소비건수 합계,181690.0
202503,의료 소비건수 합계,272283.0
202504,의료 소비건수 합계,335052.0
202505,의료 소비건수 합계,335777.0
202506,의료 소비건수 합계,337094.0
202507,의료 소비건수 합계,311126.0
202508,의료 소비건수 합계,280155.0
202509,의료 소비건수 합계,375082.0
202510,의료 소비건수 합계,376409.0
202511,의료 소비건수 합계,427456.0
202512,의료 소비건수 합계,407946.0
