기준연월,KTO카테고리소분류,소비금액
202501,의료 소비액 합계,8.6639956E7
202502,의료 소비액 합계,8.7718773E7
202503,의료 소비액 합계,1.30376501E8
202504,의료 소비액 합계,1.5993776E8
202505,의료 소비액 합계,1.43857776E8
202506,의료 소비액 합계,1.41553135E8
202507,의료 소비액 합계,1.28001473E8
202508,의료 소비액 합계,1.20863557E8
202509,의료 소비액 합계,1.66323176E8
202510,의료 소비액 합계,1.61332312E8
202511,의료 소비액 합계,1.90707719E8
202512,의료 소비액 합계,2.05531135E8
