국가명,KTO카테고리소분류,소비금액비율(카테고리별)
일본,대학/종합병원,22.95
일본,성형외과,18.41
일본,안과,0.92
일본,약국,5.25
일본,치과,15.63
일본,피부과,14.38
일본,한약방,0.03
일본,한의학과,22.44
