,국가명,KTO카테고리소분류,소비건수비율
202601,일본,전체,20.54
202602,일본,전체,22.83
202603,일본,전체,22.07
202604,일본,전체,15.49
202605,일본,전체,17.49
202606,일본,전체,18.0
