국가명,KTO카테고리소분류,소비건수비율(카테고리별)
일본,대학/종합병원,0.57
일본,성형외과,8.96
일본,안과,0.2
일본,약국,53.4
일본,치과,1.02
일본,피부과,34.66
일본,한약방,0.05
일본,한의학과,1.15
