기준년월,구분,방문지,방문자 수,방문자 수 비율
202401,전체 외국인,서울특별시,2698724,
202402,전체 외국인,서울특별시,2842766,
202403,전체 외국인,서울특별시,3668370,
202404,전체 외국인,서울특별시,3887721,
202405,전체 외국인,서울특별시,3444704,
202406,전체 외국인,서울특별시,3337312,
202407,전체 외국인,서울특별시,3392463,
202408,전체 외국인,서울특별시,3579293,
202409,전체 외국인,서울특별시,3505875,
202410,전체 외국인,서울특별시,4412558,
202411,전체 외국인,서울특별시,3477376,
202412,전체 외국인,서울특별시,3294533,
202401,태국인,서울특별시,,1.572
202402,태국인,서울특별시,,1.443
202403,태국인,서울특별시,,1.906
202404,태국인,서울특별시,,3.021
202405,태국인,서울특별시,,1.768
202406,태국인,서울특별시,,1.195
202407,태국인,서울특별시,,0.920
202408,태국인,서울특별시,,0.732
202409,태국인,서울특별시,,0.986
202410,태국인,서울특별시,,1.453
202411,태국인,서울특별시,,1.428
202412,태국인,서울특별시,,2.219
