기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
201801,글로벌,약국,43.25
201801,글로벌,대학/종합병원,27.52
201801,글로벌,피부과,9.66
201801,글로벌,치과,7.0
201801,글로벌,성형외과,6.04
201801,글로벌,한의학과,4.9
201801,글로벌,안과,1.53
201801,글로벌,한약방,0.09
201802,글로벌,약국,44.11
201802,글로벌,대학/종합병원,28.02
201802,글로벌,피부과,8.98
201802,글로벌,치과,6.65
201802,글로벌,성형외과,5.97
201802,글로벌,한의학과,4.41
201802,글로벌,안과,1.74
201802,글로벌,한약방,0.12
201803,글로벌,약국,44.67
201803,글로벌,대학/종합병원,25.43
201803,글로벌,피부과,9.97
201803,글로벌,치과,6.62
201803,글로벌,성형외과,6.83
201803,글로벌,한의학과,5.07
201803,글로벌,안과,1.32
201803,글로벌,한약방,0.09
201804,글로벌,약국,44.61
201804,글로벌,대학/종합병원,25.34
201804,글로벌,피부과,9.69
201804,글로벌,치과,7.06
201804,글로벌,성형외과,6.75
201804,글로벌,한의학과,5.0
201804,글로벌,안과,1.43
201804,글로벌,한약방,0.13
201805,글로벌,약국,44.99
201805,글로벌,대학/종합병원,24.2
201805,글로벌,피부과,10.32
201805,글로벌,치과,7.02
201805,글로벌,성형외과,6.7
201805,글로벌,한의학과,4.9
201805,글로벌,안과,1.67
201805,글로벌,한약방,0.21
201806,글로벌,약국,45.12
201806,글로벌,대학/종합병원,23.22
201806,글로벌,피부과,10.67
201806,글로벌,치과,7.53
201806,글로벌,성형외과,6.56
201806,글로벌,한의학과,5.02
201806,글로벌,안과,1.76
201806,글로벌,한약방,0.13
201807,글로벌,약국,44.64
201807,글로벌,대학/종합병원,23.54
201807,글로벌,피부과,10.86
201807,글로벌,치과,7.93
201807,글로벌,성형외과,5.98
201807,글로벌,한의학과,5.14
201807,글로벌,안과,1.81
201807,글로벌,한약방,0.1
201808,글로벌,약국,45.11
201808,글로벌,대학/종합병원,23.67
201808,글로벌,피부과,10.52
201808,글로벌,치과,7.51
201808,글로벌,성형외과,6.47
201808,글로벌,한의학과,5.05
201808,글로벌,안과,1.58
201808,글로벌,한약방,0.09
201809,글로벌,약국,48.0
201809,글로벌,대학/종합병원,21.65
201809,글로벌,피부과,10.25
201809,글로벌,치과,6.8
201809,글로벌,성형외과,7.04
201809,글로벌,한의학과,4.8
201809,글로벌,안과,1.36
201809,글로벌,한약방,0.11
201810,글로벌,약국,44.05
201810,글로벌,대학/종합병원,25.52
201810,글로벌,피부과,10.49
201810,글로벌,치과,6.98
201810,글로벌,성형외과,6.49
201810,글로벌,한의학과,4.8
201810,글로벌,안과,1.52
201810,글로벌,한약방,0.14
201811,글로벌,약국,44.58
201811,글로벌,대학/종합병원,24.76
201811,글로벌,피부과,11.26
201811,글로벌,치과,6.34
201811,글로벌,성형외과,6.82
201811,글로벌,한의학과,4.74
201811,글로벌,안과,1.35
201811,글로벌,한약방,0.14
201812,글로벌,약국,46.09
201812,글로벌,대학/종합병원,22.57
201812,글로벌,피부과,11.72
201812,글로벌,치과,6.79
201812,글로벌,성형외과,6.65
201812,글로벌,한의학과,4.61
201812,글로벌,안과,1.43
201812,글로벌,한약방,0.13
