방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
미국,서울특별시,쇼핑업,기타관광쇼핑,37.2,32.6
미국,서울특별시,쇼핑업,레저용품쇼핑,37.2,3.9
미국,서울특별시,쇼핑업,대형쇼핑몰,37.2,57.8
미국,서울특별시,쇼핑업,면세점,37.2,5.7
미국,서울특별시,숙박업,기타숙박,22.5,11.4
미국,서울특별시,숙박업,캠핑장/펜션,22.5,0.1
미국,서울특별시,숙박업,호텔,22.5,88.1
미국,서울특별시,숙박업,콘도,22.5,0.4
미국,서울특별시,식음료업,제과음료업,18.3,17.6
미국,서울특별시,식음료업,일반외식업,18.3,82.4
미국,서울특별시,여가서비스업,문화서비스,1.2,34.9
미국,서울특별시,여가서비스업,기타레저,1.2,60.3
미국,서울특별시,여가서비스업,골프장,1.2,4.4
미국,서울특별시,여가서비스업,관광유원시설,1.2,0.4
미국,서울특별시,여행업,여행업,0.2,100.0
미국,서울특별시,운송업,항공운송,5.7,9.9
미국,서울특별시,운송업,육상운송,5.7,87.6
미국,서울특별시,운송업,렌터카,5.7,1.8
미국,서울특별시,운송업,수상운송,5.7,0.6
미국,서울특별시,의료웰니스업,뷰티,14.9,24.2
미국,서울특별시,의료웰니스업,의료관광,14.9,75.8
