기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202401,중국,약국,58.84
202401,중국,피부과,23.69
202401,중국,성형외과,6.39
202401,중국,치과,3.1
202401,중국,대학/종합병원,5.19
202401,중국,한의학과,1.86
202401,중국,안과,0.85
202401,중국,한약방,0.08
202402,중국,약국,59.75
202402,중국,피부과,23.03
202402,중국,성형외과,6.78
202402,중국,치과,2.94
202402,중국,대학/종합병원,4.87
202402,중국,한의학과,1.42
202402,중국,안과,1.05
202402,중국,한약방,0.16
202403,중국,약국,59.95
202403,중국,피부과,23.54
202403,중국,성형외과,6.66
202403,중국,치과,2.87
202403,중국,대학/종합병원,3.99
202403,중국,한의학과,1.95
202403,중국,안과,0.82
202403,중국,한약방,0.24
202404,중국,약국,58.68
202404,중국,피부과,24.51
202404,중국,성형외과,6.88
202404,중국,치과,3.2
202404,중국,대학/종합병원,3.43
202404,중국,한의학과,2.22
202404,중국,안과,0.83
202404,중국,한약방,0.24
202405,중국,약국,59.24
202405,중국,피부과,24.42
202405,중국,성형외과,6.25
202405,중국,치과,2.89
202405,중국,대학/종합병원,3.69
202405,중국,한의학과,2.45
202405,중국,안과,0.79
202405,중국,한약방,0.27
202406,중국,약국,58.0
202406,중국,피부과,26.07
202406,중국,성형외과,6.54
202406,중국,치과,3.0
202406,중국,대학/종합병원,3.37
202406,중국,한의학과,1.83
202406,중국,안과,0.95
202406,중국,한약방,0.25
202407,중국,약국,61.66
202407,중국,피부과,23.11
202407,중국,성형외과,5.92
202407,중국,치과,2.77
202407,중국,대학/종합병원,4.32
202407,중국,한의학과,1.14
202407,중국,안과,0.81
202407,중국,한약방,0.26
202408,중국,약국,61.4
202408,중국,피부과,24.37
202408,중국,성형외과,5.61
202408,중국,치과,2.45
202408,중국,대학/종합병원,3.71
202408,중국,한의학과,1.46
202408,중국,안과,0.79
202408,중국,한약방,0.2
202409,중국,약국,62.39
202409,중국,피부과,22.84
202409,중국,성형외과,5.92
202409,중국,치과,2.49
202409,중국,대학/종합병원,3.44
202409,중국,한의학과,1.77
202409,중국,안과,0.71
202409,중국,한약방,0.45
202410,중국,약국,62.95
202410,중국,피부과,22.46
202410,중국,성형외과,5.85
202410,중국,치과,2.74
202410,중국,대학/종합병원,3.23
202410,중국,한의학과,1.92
202410,중국,안과,0.57
202410,중국,한약방,0.27
202411,중국,약국,59.71
202411,중국,피부과,23.49
202411,중국,성형외과,6.3
202411,중국,치과,3.39
202411,중국,대학/종합병원,3.54
202411,중국,한의학과,2.56
202411,중국,안과,0.67
202411,중국,한약방,0.34
202412,중국,약국,60.26
202412,중국,피부과,24.55
202412,중국,성형외과,6.09
202412,중국,치과,3.07
202412,중국,대학/종합병원,2.98
202412,중국,한의학과,2.11
202412,중국,안과,0.64
202412,중국,한약방,0.3
