,국가명,KTO카테고리소분류,소비금액비율
202101,미국,전체,44.25
202102,미국,전체,46.03
202103,미국,전체,46.1
202104,미국,전체,50.86
202105,미국,전체,49.19
202106,미국,전체,52.02
202107,미국,전체,56.32
202108,미국,전체,52.79
202109,미국,전체,49.2
202110,미국,전체,52.68
202111,미국,전체,51.43
202112,미국,전체,46.9
