기준연월,시도명,소비건수_(전체)
202501,부산광역시,9110.0
202502,부산광역시,8224.0
202503,부산광역시,14207.0
202504,부산광역시,19810.0
202505,부산광역시,21505.0
202506,부산광역시,20515.0
202507,부산광역시,18298.0
202508,부산광역시,17713.0
202509,부산광역시,26722.0
202510,부산광역시,25756.0
202511,부산광역시,29679.0
202512,부산광역시,29120.0
