기준연월,시도명,소비금액_(전체)
2018,세종특별자치시,85470.0
2019,세종특별자치시,79753.0
2020,세종특별자치시,79499.0
2021,세종특별자치시,171932.0
2022,세종특별자치시,224094.0
2023,세종특별자치시,291543.0
2024,세종특별자치시,341792.0
2025,세종특별자치시,410587.0
2026,세종특별자치시,256514.0
