국가명,KTO카테고리소분류,소비건수비율(카테고리별)
태국,대학/종합병원,19.16
태국,성형외과,7.04
태국,안과,1.27
태국,약국,48.92
태국,치과,10.73
태국,피부과,9.76
태국,한약방,0.27
태국,한의학과,2.86
