방문자 거주지,방문지,관광소비비율(%)
중국,서울특별시,61.6
중국,경기도,15.8
중국,인천광역시,5.3
중국,부산광역시,5.2
중국,제주특별자치도,2.4
중국,대구광역시,1.2
중국,경상북도,1.1
중국,경상남도,1.0
중국,충청북도,1.0
중국,전북특별자치도,1.0
중국,광주광역시,0.9
중국,대전광역시,0.9
중국,충청남도,0.9
중국,강원특별자치도,0.7
중국,전라남도,0.5
중국,울산광역시,0.4
중국,세종특별자치시,0.2
