기준연월,시도명,소비금액_(전체)
2018,대구광역시,3112543.0
2019,대구광역시,2802535.0
2020,대구광역시,1837428.0
2021,대구광역시,2019273.0
2022,대구광역시,2983702.0
2023,대구광역시,4169320.0
2024,대구광역시,7689336.0
2025,대구광역시,1.3783424E7
2026,대구광역시,6009438.0
