대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,면세점,48.5,12.4
쇼핑업,대형쇼핑몰,48.5,47.9
쇼핑업,레저용품쇼핑,48.5,3.6
쇼핑업,기타관광쇼핑,48.5,36.2
숙박업,호텔,18.0,84.8
숙박업,캠핑장/펜션,18.0,0.2
숙박업,기타숙박,18.0,14.8
숙박업,콘도,18.0,0.2
식음료업,일반외식업,12.4,81.9
식음료업,제과음료업,12.4,18.1
여가서비스업,골프장,0.7,4.4
여가서비스업,기타레저,0.7,46.3
여가서비스업,문화서비스,0.7,49.0
여가서비스업,관광유원시설,0.7,0.3
여가서비스업,스키장,0.7,0.0
여행업,여행업,0.2,100.0
운송업,육상운송,2.9,87.7
운송업,수상운송,2.9,0.2
운송업,항공운송,2.9,11.2
운송업,렌터카,2.9,0.9
의료웰니스업,의료관광,17.3,61.1
의료웰니스업,뷰티,17.3,38.9
