기준연월,시도명,소비건수_(전체)
2018,충청북도,3337.0
2019,충청북도,4416.0
2020,충청북도,3621.0
2021,충청북도,4831.0
2022,충청북도,6185.0
2023,충청북도,7386.0
2024,충청북도,9767.0
2025,충청북도,13360.0
2026,충청북도,9075.0
