기준년월,구분,방문지,방문자 수,방문자 수 비율
2020,전체 외국인,서울특별시,3766230,
2021,전체 외국인,서울특별시,1670308,
2022,전체 외국인,서울특별시,5588904,
2023,전체 외국인,서울특별시,33800001,
2024,전체 외국인,서울특별시,41541695,
2025,전체 외국인,서울특별시,47409856,
2020,홍콩인,서울특별시,,2.791
2021,홍콩인,서울특별시,,0.061
2022,홍콩인,서울특별시,,1.797
2023,홍콩인,서울특별시,,4.311
2024,홍콩인,서울특별시,,6.335
2025,홍콩인,서울특별시,,4.500
