기준연월,시도명,소비금액_(전체)
2018,광주광역시,616436.0
2019,광주광역시,647597.0
2020,광주광역시,363035.0
2021,광주광역시,504156.0
2022,광주광역시,807595.0
2023,광주광역시,969155.0
2024,광주광역시,1126143.0
2025,광주광역시,1449495.0
2026,광주광역시,925198.0
