국가명,KTO카테고리소분류,소비건수비율(카테고리별)
일본,대학/종합병원,18.44
일본,성형외과,12.13
일본,안과,0.82
일본,약국,43.8
일본,치과,4.91
일본,피부과,14.07
일본,한약방,0.12
일본,한의학과,5.7
