기준연월,시도명,소비금액_(전체)
2018,울산광역시,574892.0
2019,울산광역시,543803.0
2020,울산광역시,338731.0
2021,울산광역시,434284.0
2022,울산광역시,569733.0
2023,울산광역시,663583.0
2024,울산광역시,888230.0
2025,울산광역시,1149989.0
2026,울산광역시,697671.0
