국가명,KTO카테고리소분류,소비금액비율(카테고리별)
글로벌,대학/종합병원,12.55
글로벌,성형외과,26.79
글로벌,안과,1.83
글로벌,약국,7.45
글로벌,치과,5.51
글로벌,피부과,43.79
글로벌,한약방,0.02
글로벌,한의학과,2.06
