국가명,KTO카테고리소분류,소비건수비율(카테고리별)
글로벌,대학/종합병원,11.41
글로벌,성형외과,5.95
글로벌,안과,1.41
글로벌,약국,55.19
글로벌,치과,4.9
글로벌,피부과,18.14
글로벌,한약방,0.1
글로벌,한의학과,2.89
