기준년월,구분,방문지,방문자 수,방문자 수 비율
2020,전체 외국인,서울특별시,3766230,
2021,전체 외국인,서울특별시,1670308,
2022,전체 외국인,서울특별시,5588904,
2023,전체 외국인,서울특별시,33800001,
2024,전체 외국인,서울특별시,41541695,
2025,전체 외국인,서울특별시,47409856,
2020,대만인,서울특별시,,10.272
2021,대만인,서울특별시,,0.147
2022,대만인,서울특별시,,2.845
2023,대만인,서울특별시,,12.452
2024,대만인,서울특별시,,11.861
2025,대만인,서울특별시,,8.901
