국가명,기준연월,소비금액
태국,202001,610020.0
태국,202002,834379.0
태국,202003,50446.0
태국,202004,94051.0
태국,202005,59172.0
태국,202006,49550.0
태국,202007,40846.0
태국,202008,53629.0
태국,202009,39561.0
태국,202010,67667.0
태국,202011,48392.0
태국,202012,40220.0
