기준연월,시도명,소비금액_(전체)
202501,서울특별시,6.2293499E7
202502,서울특별시,6.3553708E7
202503,서울특별시,9.7202049E7
202504,서울특별시,1.20706524E8
202505,서울특별시,1.07257395E8
202506,서울특별시,1.05270183E8
202507,서울특별시,9.4078561E7
202508,서울특별시,9.0305634E7
202509,서울특별시,1.26728636E8
202510,서울특별시,1.23785409E8
202511,서울특별시,1.49432273E8
202512,서울특별시,1.59613881E8
