방문자 거주지,방문지,방문자 수 비율(%)
태국,서울특별시,20.9
태국,경기도,15.0
태국,인천광역시,12.3
태국,전라남도,8.3
태국,부산광역시,7.9
태국,경상남도,7.2
태국,경상북도,5.6
태국,충청남도,4.5
태국,전북특별자치도,3.3
태국,강원특별자치도,3.1
태국,충청북도,3.0
태국,제주특별자치도,2.8
태국,울산광역시,2.6
태국,대구광역시,1.5
태국,광주광역시,1.0
태국,대전광역시,0.6
태국,세종특별자치시,0.2
