기준년월,구분,방문지,방문자 수,방문자 수 비율
2020,전체 외국인,서울특별시,3766230,
2021,전체 외국인,서울특별시,1670308,
2022,전체 외국인,서울특별시,5588904,
2023,전체 외국인,서울특별시,33800001,
2024,전체 외국인,서울특별시,41541695,
2025,전체 외국인,서울특별시,47409856,
2020,태국인,서울특별시,,1.801
2021,태국인,서울특별시,,0.230
2022,태국인,서울특별시,,3.457
2023,태국인,서울특별시,,2.633
2024,태국인,서울특별시,,1.566
2025,태국인,서울특별시,,1.588
