국가명,KTO카테고리소분류,소비건수비율(카테고리별)
홍콩,대학/종합병원,10.65
홍콩,성형외과,9.36
홍콩,안과,1.91
홍콩,약국,47.9
홍콩,치과,7.57
홍콩,피부과,19.58
홍콩,한약방,0.09
홍콩,한의학과,2.96
