기준년월,구분,방문지,방문자 수,방문자 수 비율
202101,전체 외국인,서울특별시,86978,
202102,전체 외국인,서울특별시,106108,
202103,전체 외국인,서울특별시,138717,
202104,전체 외국인,서울특별시,119328,
202105,전체 외국인,서울특별시,123672,
202106,전체 외국인,서울특별시,124195,
202107,전체 외국인,서울특별시,139743,
202108,전체 외국인,서울특별시,174626,
202109,전체 외국인,서울특별시,164899,
202110,전체 외국인,서울특별시,180555,
202111,전체 외국인,서울특별시,155590,
202112,전체 외국인,서울특별시,155897,
202101,태국인,서울특별시,,0.318
202102,태국인,서울특별시,,0.156
202103,태국인,서울특별시,,0.156
202104,태국인,서울특별시,,0.185
202105,태국인,서울특별시,,0.224
202106,태국인,서울특별시,,0.343
202107,태국인,서울특별시,,0.243
202108,태국인,서울특별시,,0.181
202109,태국인,서울특별시,,0.244
202110,태국인,서울특별시,,0.248
202111,태국인,서울특별시,,0.253
202112,태국인,서울특별시,,0.236
