국가명,KTO카테고리소분류,소비건수비율(카테고리별)
미국,대학/종합병원,12.31
미국,성형외과,4.68
미국,안과,2.53
미국,약국,53.62
미국,치과,7.96
미국,피부과,14.54
미국,한약방,0.05
미국,한의학과,4.3
