국가명,KTO카테고리소분류,소비금액비율(카테고리별)
미국,대학/종합병원,11.84
미국,성형외과,27.34
미국,안과,2.89
미국,약국,6.77
미국,치과,9.32
미국,피부과,39.4
미국,한약방,0.01
미국,한의학과,2.42
