대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,면세점,37.0,10.8
쇼핑업,대형쇼핑몰,37.0,34.8
쇼핑업,레저용품쇼핑,37.0,7.0
쇼핑업,기타관광쇼핑,37.0,47.4
숙박업,호텔,12.3,79.8
숙박업,캠핑장/펜션,12.3,0.0
숙박업,기타숙박,12.3,20.1
숙박업,콘도,12.3,0.0
식음료업,일반외식업,13.1,75.7
식음료업,제과음료업,13.1,24.3
여가서비스업,골프장,0.6,2.7
여가서비스업,기타레저,0.6,42.1
여가서비스업,문화서비스,0.6,55.2
여가서비스업,관광유원시설,0.6,0.0
여행업,여행업,0.0,100.0
운송업,육상운송,2.5,99.9
운송업,렌터카,2.5,0.1
운송업,수상운송,2.5,0.0
의료웰니스업,의료관광,34.5,61.4
의료웰니스업,뷰티,34.5,38.6
