국가명,KTO카테고리소분류,소비금액비율(카테고리별)
중국,대학/종합병원,2.3
중국,성형외과,18.99
중국,안과,0.53
중국,약국,3.88
중국,치과,1.47
중국,피부과,72.11
중국,한약방,0.01
중국,한의학과,0.71
