국가명,KTO카테고리소분류,소비건수비율(카테고리별)
홍콩,대학/종합병원,3.91
홍콩,성형외과,4.71
홍콩,안과,0.97
홍콩,약국,53.39
홍콩,치과,3.65
홍콩,피부과,31.42
홍콩,한약방,0.04
홍콩,한의학과,1.91
