기준연월,시도명,소비건수_(전체)
2018,전국,668665.0
2019,전국,880483.0
2020,전국,508909.0
2021,전국,539766.0
2022,전국,947310.0
2023,전국,1659088.0
2024,전국,2536769.0
2025,전국,3832383.0
2026,전국,2819619.0
