국가명,KTO카테고리소분류,소비건수비율(카테고리별)
대만,대학/종합병원,0.47
대만,성형외과,4.79
대만,안과,0.75
대만,약국,64.07
대만,치과,0.5
대만,피부과,29.12
대만,한약방,0.08
대만,한의학과,0.23
