국가명,KTO카테고리소분류,소비금액비율(카테고리별)
글로벌,대학/종합병원,15.02
글로벌,성형외과,36.33
글로벌,안과,2.12
글로벌,약국,4.78
글로벌,치과,6.44
글로벌,피부과,32.83
글로벌,한약방,0.02
글로벌,한의학과,2.46
