기준연월,시도명,소비건수_(전체)
2018,충청남도,5440.0
2019,충청남도,7161.0
2020,충청남도,6834.0
2021,충청남도,10238.0
2022,충청남도,12162.0
2023,충청남도,13615.0
2024,충청남도,16398.0
2025,충청남도,19601.0
2026,충청남도,11887.0
